Trade Date,Display,Shares In Issue,Open Price,Close Price
10/05/2021,ATEL,"104,000,000.00",29.48,29.48
10/05/2021,CECZ,"1,625,000,597.00",1.23,1.25
10/05/2021,ZABR,"546,000,000.00",7.23,7.23
10/05/2021,MAFS,"50,000,000.00",2.88,2.88
10/05/2021,ZMBF,"300,579,610.00",1.12,1.12
10/05/2021,SCBL,"1,666,980,000.00",1.34,1.34
10/05/2021,ZSUG,"316,571,385.40",2.56,2.56
10/05/2021,ZMRE,"45,000,000.00",2.80,2.8
10/05/2021,AECI,"20,406,600.00",24.21,24.21
10/05/2021,BATA,"76,107,600.00",2.60,2.6
10/05/2021,CHIL,"200,039,904.00",2.69,2.69
11/05/2021,REIZ,"56,460,198.00",0.80,0.8
11/05/2021,ZMFA,"27,090,100.00",4.78,4.78
11/05/2021,ZNCO,"1,443,750,041.28",0.70,0.7
11/05/2021,ZCCM,"160,800,286.00",38.00,38
11/05/2021,ZFCO,"400,000,000.00",1.95,1.95
11/05/2021,BATZ,"212,456,304.00",1.80,1.8
11/05/2021,NATB,"63,000,000.00",9.21,9.21
11/05/2021,PUMA,"500,000,000.00",1.47,1.47
11/05/2021,SHOP,"2,700,000.00",63.01,63.01
11/05/2021,CCAF,"1,625,000,597.00",0.17,0.17
11/05/2021,PMDZ,"100,000,000.00",0.60,0.6
11/05/2021,ATEL,"104,000,000.00",29.48,29.48
11/05/2021,CECZ,"1,625,000,597.00",1.25,1.25
11/05/2021,ZABR,"546,000,000.00",7.23,7.23
11/05/2021,MAFS,"50,000,000.00",2.88,2.88
11/05/2021,ZMBF,"300,579,610.00",1.12,1.12
11/05/2021,SCBL,"1,666,980,000.00",1.34,1.34
11/05/2021,ZSUG,"316,571,385.40",2.56,2.56
11/05/2021,ZMRE,"45,000,000.00",2.80,2.8
11/05/2021,AECI,"20,406,600.00",24.21,24.21
11/05/2021,BATA,"76,107,600.00",2.60,2.6
11/05/2021,CHIL,"200,039,904.00",2.69,2.69
12/05/2021,REIZ,"56,460,198.00",0.80,0.8
12/05/2021,ZMFA,"27,090,100.00",4.78,4.78
12/05/2021,ZNCO,"1,443,750,041.28",0.70,0.7
12/05/2021,ZCCM,"160,800,286.00",38.00,38
12/05/2021,ZFCO,"400,000,000.00",1.95,1.95
12/05/2021,BATZ,"212,456,304.00",1.80,1.8
12/05/2021,NATB,"63,000,000.00",9.21,9.21
12/05/2021,PUMA,"500,000,000.00",1.47,1.47
12/05/2021,SHOP,"2,700,000.00",63.01,63.01
12/05/2021,CCAF,"1,625,000,597.00",0.17,0.17
12/05/2021,PMDZ,"100,000,000.00",0.60,0.6
12/05/2021,ATEL,"104,000,000.00",29.48,29.48
12/05/2021,CECZ,"1,625,000,597.00",1.25,1.25
12/05/2021,ZABR,"546,000,000.00",7.23,7.23
12/05/2021,MAFS,"50,000,000.00",2.88,2.88
12/05/2021,ZMBF,"300,579,610.00",1.12,1.12
12/05/2021,SCBL,"1,666,980,000.00",1.34,1.34
12/05/2021,ZSUG,"316,571,385.40",2.56,2.56
12/05/2021,ZMRE,"45,000,000.00",2.80,2.8
12/05/2021,AECI,"20,406,600.00",24.21,24.21
12/05/2021,BATA,"76,107,600.00",2.60,2.6
12/05/2021,CHIL,"200,039,904.00",2.69,2.69
13/05/2021,REIZ,"56,460,198.00",0.80,0.8
13/05/2021,ZMFA,"27,090,100.00",4.78,4.78
13/05/2021,ZNCO,"1,443,750,041.28",0.70,0.7
13/05/2021,ZCCM,"160,800,286.00",38.00,38
13/05/2021,ZFCO,"400,000,000.00",1.95,1.95
13/05/2021,BATZ,"212,456,304.00",1.80,1.8
13/05/2021,NATB,"63,000,000.00",9.21,9.21
13/05/2021,PUMA,"500,000,000.00",1.47,1.47
13/05/2021,SHOP,"2,700,000.00",63.01,63.01
13/05/2021,CCAF,"1,625,000,597.00",0.17,0.17
13/05/2021,PMDZ,"100,000,000.00",0.60,0.6
13/05/2021,ATEL,"104,000,000.00",29.48,29.48
13/05/2021,CECZ,"1,625,000,597.00",1.25,1.25
13/05/2021,ZABR,"546,000,000.00",7.23,7.23
13/05/2021,MAFS,"50,000,000.00",2.88,2.88
13/05/2021,ZMBF,"300,579,610.00",1.12,1.12
13/05/2021,SCBL,"1,666,980,000.00",1.34,1.34
13/05/2021,ZSUG,"316,571,385.40",2.56,2.56
13/05/2021,ZMRE,"45,000,000.00",2.80,2.8
13/05/2021,AECI,"20,406,600.00",24.21,24.21
13/05/2021,BATA,"76,107,600.00",2.60,2.6
13/05/2021,CHIL,"200,039,904.00",2.69,2.69
14/05/2021,REIZ,"56,460,198.00",0.80,0.8
14/05/2021,ZMFA,"27,090,100.00",4.78,4.78
14/05/2021,ZNCO,"1,443,750,041.28",0.70,0.7
14/05/2021,ZCCM,"160,800,286.00",38.00,38
14/05/2021,ZFCO,"400,000,000.00",1.95,1.95
14/05/2021,BATZ,"212,456,304.00",1.80,1.8
14/05/2021,NATB,"63,000,000.00",9.21,9.21
14/05/2021,PUMA,"500,000,000.00",1.47,1.47
